SS_310

3 2 36

8000.
193.E9
0.27
          4.       1.
        300.     300.
          

1	2.16	0.152
2	2.16	0.116
3	2.16	0.172
4	2.16	0.241
10	5.25	0.746
20	12.13	1.739
30	27.68	2.741
40	63.42	3.648
47	99.77	4.208
47	99.77	4.208
50	98.21	4.430
60	134.24	5.093
70	167.66	5.655
80	197.66	6.135
90	224.15	6.551
100	247.51	6.917
110	268.33	7.245
120	287.12	7.544
130	304.31	7.820
140	320.21	8.081
150	335.00	8.329
160	348.81	8.568
170	361.69	8.800
180	373.67	9.027
190	384.78	9.252
200	395.04	9.473
210	404.50	9.693
220	413.23	9.912
230	421.31	10.130
240	428.86	10.347
250	436.02	10.563
260	442.97	10.779
270	449.90	10.993
280	457.01	11.206
290	464.55	11.418
300	472.78	11.628






